ExtractID,DocumentID,FieldName,FieldValue,ConfidenceScore
60,31,UnitPrice,Set region,86.67
61,32,ReferenceNumber,Kitchen really,82.17
62,32,UnitPrice,Animal someone,67.67
63,33,ReferenceNumber,Grow issue each,76.24
64,33,ItemDescription,Not society color bad,93.34
65,33,UnitPrice,People drive tree central,72.15
66,34,ReferenceNumber,Point least project together,91.42
67,35,TotalAmount,Top quality citizen kid,77.68
68,35,IssueDate,Write federal while real,68.55
69,35,AuthorizedBy,Suddenly current his low,78.92
70,36,ItemDescription,High grow fast,80.61
71,36,OrderDate,Against stop how,85.31
72,36,UnitPrice,Not rate,73.4
73,37,UnitPrice,Treat seat,68.98
74,38,ItemDescription,Simply discover soon,60.98
75,39,IssueDate,Pm per question,84.44
76,40,IssueDate,Pick tough position,76.57
77,41,Department,Small almost half,79.77
78,41,Quantity,Bed far section,69.76
79,41,ReferenceNumber,Customer skill theory,86.24
80,42,OrderDate,Most tree store either,91.13
81,43,ItemDescription,Whose far that sound,92.16
82,44,AuthorizedBy,While cell whom team,82.29
83,44,IssueDate,Whose source hand so,96.69
84,44,RecipientName,Enough buy,64.85
85,45,IssueDate,Pull public once state,86.7
86,46,Department,Board doctor agent this,84.5
87,46,TotalAmount,Foreign particular positive play less,88.76
88,46,IssueDate,Power bring animal,80.19
89,47,IssueDate,Fight manage,78.0
90,47,ItemDescription,Doctor Mr,90.06
91,47,Department,Law provide sea watch,93.59
92,48,AuthorizedBy,Onto risk those pressure,85.06
93,48,IssueDate,Past voice evidence real,70.98
94,49,UnitPrice,Kitchen wear talk,69.38
95,50,TotalAmount,Wonder happen,63.22
96,50,AuthorizedBy,Art every why we,66.03
97,51,ItemDescription,Begin deep police wife,62.57
98,51,Quantity,Skill during,76.3
99,52,IssueDate,Skin day stop,68.27
100,52,ReferenceNumber,Debate democratic thank forget challenge,76.8
101,52,RecipientName,Able teach certain candidate economy,96.18
102,53,RecipientName,Body term capital,60.24
103,53,ReferenceNumber,So draw food company,74.07
104,53,IssueDate,Camera inside,90.13
105,54,AuthorizedBy,Second live,91.99
106,54,Department,Message board mean war,95.9
107,55,Quantity,Road training,77.43
108,55,UnitPrice,Feeling poor all your suggest,61.16
109,56,ReferenceNumber,Rather make travel available,93.61
110,56,ItemDescription,Focus chance,96.77
111,57,AuthorizedBy,Every plan nature,83.67
112,57,RecipientName,Herself our far measure,86.51
113,57,ReferenceNumber,Between reduce table prepare,63.36
114,58,ItemDescription,Result Democrat later direction fund,67.27
115,58,IssueDate,Human role fine fine,70.4
116,59,Quantity,Hear check type,73.07
117,59,IssueDate,Before be,90.44
118,60,UnitPrice,Benefit school speech news,70.09
119,60,ReferenceNumber,What no prove improve them,63.28
120,61,AuthorizedBy,Test return why outside,62.08
121,62,Quantity,Billion medical choice lot,91.24
122,62,OrderDate,Glass news,86.06
123,63,Quantity,Several off,67.97
124,64,Department,Suddenly window stand party,66.09
125,65,IssueDate,Ago upon stop environment Congress,86.77
126,66,Quantity,Tv go consider,90.67
127,66,IssueDate,Not husband center,66.71
128,66,UnitPrice,Begin most,84.28
129,67,OrderDate,Information game have return,64.32
130,67,ItemDescription,Other third choose senior anyone,61.03
131,67,UnitPrice,Evening product,72.48
132,68,ReferenceNumber,Parent increase democratic mention,63.04
133,68,Department,Involve exist question main,87.62
134,68,Quantity,Animal house out,85.08
135,69,UnitPrice,Daughter war,94.0
136,70,OrderDate,Share face build,81.3
137,70,RecipientName,Section compare herself region,86.45
138,70,TotalAmount,Next property government however,62.76
139,71,TotalAmount,Job least,92.89
140,71,RecipientName,Television office,64.22
141,71,ReferenceNumber,Identify policy face if whom,98.42
142,72,IssueDate,Soon peace story,67.04
143,72,ItemDescription,Because such during open,80.86
144,72,ReferenceNumber,Bad that second develop single,86.01
145,73,AuthorizedBy,Member box,77.42
146,73,IssueDate,Create simply go when population,89.23
147,73,Department,Door chair culture,70.73
148,74,OrderDate,Check service away week physical,71.15
149,75,Quantity,Senior service large under,82.79
150,75,IssueDate,Poor worry follow wife firm,86.72
151,76,RecipientName,Attention kind field ever,94.03
152,76,IssueDate,Goal avoid,67.27
153,77,TotalAmount,Later arm story baby,91.91
154,78,UnitPrice,Past medical,82.23
155,78,Department,Oil west school American,80.66
156,79,OrderDate,Prepare focus little character artist,69.65
157,80,IssueDate,Specific study,90.32
158,80,AuthorizedBy,Mean common,87.62
